City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
270,Sydney,AU,-33.87,151.21,61.0,41,5,18.34,clear sky,0.0,0.0
271,Dzaoudzi,YT,-12.79,45.27,82.4,61,20,14.99,few clouds,0.0,0.0
272,Marawi,PH,8.0,124.29,84.99,81,62,7.0,moderate rain,1.55,0.0
273,Dzilam Gonzalez,MX,21.28,-88.93,80.01,92,90,5.79,overcast clouds,0.0,0.0
274,Pangody,RU,65.85,74.49,52.92,47,66,4.83,broken clouds,0.0,0.0
275,Vanavara,RU,60.34,102.28,81.19,37,62,4.52,broken clouds,0.0,0.0
276,Sidi Ali,DZ,36.1,0.42,74.3,46,0,9.62,clear sky,0.0,0.0
277,Seoul,KR,37.57,126.98,89.6,48,100,6.93,overcast clouds,0.0,0.0
278,Mount Isa,AU,-20.73,139.5,69.8,19,0,8.05,clear sky,0.0,0.0
279,Ust-Karsk,RU,52.7,118.81,68.56,53,99,7.38,light rain,0.14,0.0
280,Nimes,FR,43.83,4.35,69.8,56,0,9.17,clear sky,0.0,0.0
281,Sarangani,PH,5.4,125.46,84.09,75,29,13.15,scattered clouds,0.0,0.0
282,Fort Nelson,CA,58.81,-122.7,68.0,42,20,5.82,few clouds,0.0,0.0
283,Bonthe,SL,7.53,-12.51,77.43,85,81,2.93,light rain,0.5,0.0
284,Gazanjyk,TM,39.24,55.52,87.35,28,0,9.06,clear sky,0.0,0.0
285,Narsaq,GL,60.92,-46.05,46.4,65,0,3.36,clear sky,0.0,0.0
286,Swan Hill,AU,-35.34,143.55,61.36,63,51,10.27,broken clouds,0.0,0.0
287,Mecca,SA,21.43,39.83,102.94,8,1,18.37,clear sky,0.0,0.0
288,Yarmouth,US,41.71,-70.23,69.01,94,90,4.7,fog,0.0,0.0
289,Decatur,US,39.84,-88.95,66.2,93,75,4.7,broken clouds,0.0,0.0
290,Hirara,JP,24.8,125.28,86.0,84,75,9.17,shower rain,0.0,0.0
291,Farah,AF,32.5,62.5,95.5,12,0,7.29,clear sky,0.0,0.0
292,Nivala,FI,63.92,24.97,63.0,69,3,4.0,clear sky,0.0,0.0
293,Vaxjo,SE,56.88,14.81,57.2,100,66,8.05,broken clouds,0.0,0.0
294,Calbuco,CL,-41.77,-73.13,41.0,100,90,9.17,light intensity shower rain,0.0,0.0
295,Ust-Nera,RU,64.57,143.2,82.53,23,77,7.85,broken clouds,0.0,0.0
296,Jiaojiang,CN,28.68,121.44,91.99,57,97,6.33,overcast clouds,0.0,0.0
